book_id,book_short,book_title,dir_name,author,dynasty,raw_category,meta_category,subcategory,book_type,quality,edition,file_count,path
BOOK_B2EB248E3,B2EB248E3,中寒論辯證廣注,中寒論辯證廣注,丹波元胤,,傷寒,傷寒,傷寒,commentary,0%,,1,data/corpus/raw/傷寒/書籍/中寒論辯證廣注
BOOK_BB711944D,BB711944D,仲景傷寒補亡論,仲景傷寒補亡論,郭雍,宋,傷寒,傷寒,傷寒,original,0%,,27,data/corpus/raw/傷寒/書籍/仲景傷寒補亡論
BOOK_B9DD8A693,B9DD8A693,傷寒九十論,傷寒九十論,許叔微,宋,傷寒,傷寒,傷寒,case_collection,0%,,1,data/corpus/raw/傷寒/書籍/傷寒九十論
BOOK_SHL_LAISU,SHL_LAISU,傷寒來蘇集,傷寒來蘇集,柯琴,清,傷寒,傷寒,傷寒,commentary,0%,,6,data/corpus/raw/傷寒/書籍/傷寒來蘇集
BOOK_BBA9FB4A6,BBA9FB4A6,傷寒六書,傷寒六書,陶華,明,傷寒,傷寒,傷寒,compilation,0%,,11,data/corpus/raw/傷寒/書籍/傷寒六書
BOOK_B9119D083,B9119D083,傷寒大白,傷寒大白,高世栻,清,傷寒,傷寒,傷寒,original,0%,,8,data/corpus/raw/傷寒/書籍/傷寒大白
BOOK_B07FA055B,B07FA055B,傷寒審證表,傷寒審證表,,清,傷寒,傷寒,傷寒,commentary,0%,,1,data/corpus/raw/傷寒/書籍/傷寒審證表
BOOK_B8E444005,B8E444005,傷寒尋源,傷寒尋源,呂震名,清,傷寒,傷寒,傷寒,original,0%,,1,data/corpus/raw/傷寒/書籍/傷寒尋源
BOOK_BFC8774D3,BFC8774D3,傷寒心要,傷寒心要_1,劉完素,金,傷寒,傷寒,傷寒,original,0%,,1,data/corpus/raw/傷寒/書籍/傷寒心要_1
BOOK_B30C12DB4,B30C12DB4,傷寒心鏡別集,傷寒心鏡別集,張從正,金,傷寒,傷寒,傷寒,original,0%,,1,data/corpus/raw/傷寒/書籍/傷寒心鏡別集
BOOK_B0B74DF58,B0B74DF58,傷寒恆論,傷寒恆論,,,傷寒,傷寒,傷寒,original,0%,,21,data/corpus/raw/傷寒/書籍/傷寒恆論
BOOK_BCA15D57E,BCA15D57E,傷寒懸解,傷寒懸解,黃元御,清,傷寒,傷寒,傷寒,commentary,0%,,1,data/corpus/raw/傷寒/書籍/傷寒懸解
BOOK_BCCBDEC5F,BCCBDEC5F,傷寒括要,傷寒括要,李中梓,明,傷寒,傷寒,傷寒,original,0%,,1,data/corpus/raw/傷寒/書籍/傷寒括要
BOOK_B5C5ECAC2,B5C5ECAC2,傷寒指掌,傷寒指掌,吳坤安,清,傷寒,傷寒,傷寒,commentary,0%,,8,data/corpus/raw/傷寒/書籍/傷寒指掌
